value,nsamp,name,rep
1,100,perc_boot,13
0,140,HulC,13
1,140,Wald,13
1,140,basic_boot,13
1,140,perc_boot,13
1,180,HulC,13
1,180,Wald,13
1,180,basic_boot,13
1,180,perc_boot,13
0,20,HulC,13
1,20,Wald,13
1,20,basic_boot,13
1,20,perc_boot,13
1,220,HulC,13
1,220,Wald,13
1,220,basic_boot,13
1,220,perc_boot,13
1,260,HulC,13
1,260,Wald,13
1,260,basic_boot,13
1,260,perc_boot,13
1,300,HulC,13
1,300,Wald,13
1,300,basic_boot,13
1,300,perc_boot,13
1,340,HulC,13
1,340,Wald,13
1,340,basic_boot,13
1,340,perc_boot,13
1,380,HulC,13
1,380,Wald,13
1,380,basic_boot,13
1,380,perc_boot,13
1,420,HulC,13
1,420,Wald,13
1,420,basic_boot,13
1,420,perc_boot,13
1,460,HulC,13
1,460,Wald,13
1,460,basic_boot,13
1,460,perc_boot,13
1,500,HulC,13
1,500,Wald,13
1,500,basic_boot,13
1,500,perc_boot,13
1,60,HulC,13
1,60,Wald,13
1,60,basic_boot,13
1,60,perc_boot,13
1,100,HulC,14
1,100,Wald,14
1,100,basic_boot,14
1,100,perc_boot,14
1,140,HulC,14
1,140,Wald,14
1,140,basic_boot,14
1,140,perc_boot,14
1,180,HulC,14
1,180,Wald,14
1,180,basic_boot,14
1,180,perc_boot,14
1,20,HulC,14
1,20,Wald,14
1,20,basic_boot,14
1,20,perc_boot,14
1,220,HulC,14
0,220,Wald,14
0,220,basic_boot,14
0,220,perc_boot,14
1,260,HulC,14
1,260,Wald,14
1,260,basic_boot,14
1,260,perc_boot,14
0,300,HulC,14
1,300,Wald,14
1,300,basic_boot,14
1,300,perc_boot,14
1,340,HulC,14
1,340,Wald,14
1,340,basic_boot,14
1,340,perc_boot,14
1,380,HulC,14
1,380,Wald,14
1,380,basic_boot,14
1,380,perc_boot,14
1,420,HulC,14
1,420,Wald,14
1,420,basic_boot,14
1,420,perc_boot,14
1,460,HulC,14
1,460,Wald,14
1,460,basic_boot,14
1,460,perc_boot,14
1,500,HulC,14
1,500,Wald,14
1,500,basic_boot,14
1,500,perc_boot,14
1,60,HulC,14
1,60,Wald,14
1,60,basic_boot,14
1,60,perc_boot,14
1,100,HulC,15
1,100,Wald,15
1,100,basic_boot,15
1,100,perc_boot,15
1,140,HulC,15
1,140,Wald,15
1,140,basic_boot,15
1,140,perc_boot,15
1,180,HulC,15
1,180,Wald,15
1,180,basic_boot,15
1,180,perc_boot,15
1,20,HulC,15
0,20,Wald,15
1,20,basic_boot,15
1,20,perc_boot,15
1,220,HulC,15
1,220,Wald,15
1,220,basic_boot,15
1,220,perc_boot,15
1,260,HulC,15
1,260,Wald,15
1,260,basic_boot,15
1,260,perc_boot,15
1,300,HulC,15
1,300,Wald,15
1,300,basic_boot,15
1,300,perc_boot,15
1,340,HulC,15
1,340,Wald,15
1,340,basic_boot,15
1,340,perc_boot,15
1,380,HulC,15
1,380,Wald,15
1,380,basic_boot,15
1,380,perc_boot,15
1,420,HulC,15
1,420,Wald,15
1,420,basic_boot,15
1,420,perc_boot,15
1,460,HulC,15
1,460,Wald,15
1,460,basic_boot,15
1,460,perc_boot,15
1,500,HulC,15
1,500,Wald,15
1,500,basic_boot,15
1,500,perc_boot,15
1,60,HulC,15
1,60,Wald,15
1,60,basic_boot,15
1,60,perc_boot,15
1,100,HulC,16
1,100,Wald,16
1,100,basic_boot,16
1,100,perc_boot,16
1,140,HulC,16
1,140,Wald,16
1,140,basic_boot,16
1,140,perc_boot,16
1,180,HulC,16
1,180,Wald,16
1,180,basic_boot,16
1,180,perc_boot,16
1,20,HulC,16
1,20,Wald,16
1,20,basic_boot,16
1,20,perc_boot,16
1,220,HulC,16
