"","theta_idx","method","n_idx","coverage","width","theta","n"
"163",13,"dhz_data",3,0.96,0.398163012547618,8.6,250
"164",14,"dhz_data",3,0.966,0.395971091517587,9.3,250
"165",15,"dhz_data",3,0.964,0.403245489901775,10,250
"166",1,"subsam",3,0.585,0.893245892800979,0.2,250
"167",2,"subsam",3,0.77,0.539712717079535,0.9,250
"168",3,"subsam",3,0.831,0.431314141705829,1.6,250
"169",4,"subsam",3,0.838,0.378431499446417,2.3,250
"170",5,"subsam",3,0.861,0.349800000539254,3,250
"171",6,"subsam",3,0.868,0.33510878186584,3.7,250
"172",7,"subsam",3,0.87,0.322597964491519,4.4,250
"173",8,"subsam",3,0.884,0.312687144994858,5.1,250
"174",9,"subsam",3,0.856,0.305319617899674,5.8,250
"175",10,"subsam",3,0.887,0.299522401035526,6.5,250
"176",11,"subsam",3,0.871,0.29741150406968,7.2,250
"177",12,"subsam",3,0.884,0.289661502130533,7.9,250
"178",13,"subsam",3,0.886,0.292232230344209,8.6,250
"179",14,"subsam",3,0.882,0.287556033970577,9.3,250
"180",15,"subsam",3,0.888,0.286365695549132,10,250
"181",1,"hulc",4,0.909,0.894796117077225,0.2,1000
"182",2,"hulc",4,0.966,0.4682764238282,0.9,1000
"183",3,"hulc",4,0.964,0.369576335733067,1.6,1000
"184",4,"hulc",4,0.941,0.318903215232702,2.3,1000
"185",5,"hulc",4,0.938,0.290977697680267,3,1000
"186",6,"hulc",4,0.951,0.274478790560253,3.7,1000
"187",7,"hulc",4,0.96,0.263318555157611,4.4,1000
"188",8,"hulc",4,0.956,0.258528673813041,5.1,1000
"189",9,"hulc",4,0.958,0.254795575485255,5.8,1000
"190",10,"hulc",4,0.939,0.249003717301742,6.5,1000
"191",11,"hulc",4,0.939,0.240923295347042,7.2,1000
"192",12,"hulc",4,0.953,0.244343640073427,7.9,1000
"193",13,"hulc",4,0.949,0.241167432904197,8.6,1000
"194",14,"hulc",4,0.946,0.23642523450685,9.3,1000
"195",15,"hulc",4,0.962,0.235861566060367,10,1000
"196",1,"dhz_orac",4,0.977,2.96720005673439,0.2,1000
"197",2,"dhz_orac",4,0.97,0.664817866386263,0.9,1000
"198",3,"dhz_orac",4,0.956,0.409472618223073,1.6,1000
"199",4,"dhz_orac",4,0.958,0.330527165509741,2.3,1000
"200",5,"dhz_orac",4,0.958,0.279750904666816,3,1000
"201",6,"dhz_orac",4,0.957,0.26249020484326,3.7,1000
"202",7,"dhz_orac",4,0.967,0.240727398349211,4.4,1000
"203",8,"dhz_orac",4,0.958,0.224129097475228,5.1,1000
"204",9,"dhz_orac",4,0.951,0.215029888229917,5.8,1000
"205",10,"dhz_orac",4,0.962,0.214141106322721,6.5,1000
"206",11,"dhz_orac",4,0.953,0.205451788895547,7.2,1000
"207",12,"dhz_orac",4,0.956,0.202537622037079,7.9,1000
"208",13,"dhz_orac",4,0.958,0.198144326375185,8.6,1000
"209",14,"dhz_orac",4,0.951,0.197742567756588,9.3,1000
